entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"A B Ceasel painting box (The). 1s. net FROWDE AND H. & S., Nov. '17",,,A B Ceasel painting box (The),FROWDE AND H. & S.,1s.,,"A B Ceasel painting box (The). Is. net FROWDE AND H. & S., Nov. '17",,,,Nov. '17,1917,net
"A B C guide to health resorts served by the Great Central Railway, 1917. 8vo. 84 x 58, pp. 441, s. W. HILL, Aug. '17",,,A B C guide to health resorts served by the Great Central Railway,W. HILL,,8vo.,"A B C guide to health resorts served by the Great Central Railway, 1917. 8vo. 84 x 58, pp. 441, IS. W. HILL, Aug. '17",,,,Aug. '17,1917,
" A.L. Table book (The): weights and meas- ures and metric system. 18mo. 54 x 44, pp. .E. J. ARNOLD, Aug. '17",,,A.L. Table book (The): weights and meas- ures and metric system,E. J. ARNOLD,,18mo.," A.L. Table book (The): weights and meas- ures and metric system. 18mo. 54 x 44, pp. .E. J. ARNOLD, Aug. '17",,,,Aug. '17,1917,
" A.L. Welcome readers. Preparatory book A. Cr. 8vo. 71% 5, pp. 76, 6d. net E. J. ARNOLD, Sep. '17",,,A.L. Welcome readers,E. J. ARNOLD,6d.,8vo.," A.L. Welcome readers. Preparatory book A. Cr. 8vo. 71% 5, pp. 76, 6d. net E. J. ARNOLD, Sep. '17",,,,Sep. '17,1917,net
" A.S.O.T.P. See P. (A.S.O.T.) Aaronsohn (Alexander)-With the Turks in Palestine. Cr. 8vo. 71 x 5, pp. 125, 2s. net CONSTABLE, Apr. 17",,,A.S.O.T.P. See P. (A.S.O.T.) Aaronsohn (Alexander)-With the Turks in Palestine,CONSTABLE,2s.,8vo.," A.S.O.T.P. See P. (A.S.O.T.) Aaronsohn (Alexander)-With the Turks in Palestine. Cr. 8vo. 71 x 5, pp. 125, 25. net CONSTABLE, Apr. 17",,,,Apr. 17,1917,net
"Abbott (E.) and Breckinridge (S. P.)-Truancy and non-attendance in the Chicago schools : a study of the social aspects of the compulsory education and child labor legislation of Illinois. Cr. 8vo. 8 X 5), pp. 488, 9s. net CAMB. UNIV. PR., Apr. 17",Abbott,E.,Truancy and non-attendance in the Chicago schools : a study of the social aspects of the compulsory education and child labor legislation of Illinois,CAMB. UNIV. PR.,9s.,8vo.,"Abbott (E.) and Breckinridge (S. P.)-Truancy and non-attendance in the Chicago schools : a study of the social aspects of the compulsory education and child labor legislation of Illinois. Cr. 8vo. 8 X 5), pp. 488, 9s. net CAMB. UNIV. PR., Apr. 17",E. Abbott,"['Abbott (E.)', 'Breckinridge (S. P.)']",,Apr. 17,1917,net
"Abbott (Edwin A.)-The Fourfold Gospel. Sect. V, The Founding of the New Kingdom; or, Life reached through death. (Diatessarica. Pt. X, sect. V. The completion of the work.] Demy 8vo. 74x59, pp. 832, 16s. 6d. net CAMB. UNIV. PR., Sep. '17",Abbott,Edwin A.,The Fourfold Gospel,CAMB. UNIV. PR.,16s. 6d.,8vo.,"Abbott (Edwin A.)-The Fourfold Gospel. Sect. V, The Founding of the New Kingdom; or, Life reached through death. (Diatessarica. Pt. X, sect. V. The completion of the work.] Demy 8vo. 74x59, pp. 832, 16s. 6d. net CAMB. UNIV. PR., Sep. '17",Edwin A. Abbott,['Abbott (Edwin A.)'],,Sep. '17,1917,net
"Abbott (Eleanor Hallowell)--Little Eve Edgarton. Cr. 8vo. 73 x 44, pp. 248, is. net HODDER & S., Jan. 17",Abbott,Eleanor Hallowell,Little Eve Edgarton,HODDER & S.,,8vo.,"Abbott (Eleanor Hallowell)--Little Eve Edgarton. Cr. 8vo. 73 x 44, pp. 248, is. net HODDER & S., Jan. 17",Eleanor Hallowell Abbott,['Abbott (Eleanor Hallowell)'],,Jan. 17,1917,
"Abraham (J. Johnston)-The Night nurse. New and cheaper ed. Cr. 8vo. 7X41, pp. 311, 18. net CHAPMAN & H., Jan, 17",Abraham,J. Johnston,The Night nurse,CHAPMAN & H.,,8vo.,"Abraham (J. Johnston)-The Night nurse. New and cheaper ed. Cr. 8vo. 7X41, pp. 311, 18. net CHAPMAN & H., Jan, 17",J. Johnston Abraham,['Abraham (J. Johnston)'],,"Jan, 17",1917,
"Abrahams (I.)-Studies in Pharisaism and the Gospels. Demy 8vo. 81 x 51, pp. 188, 6s. 6d. net... CAMB. UNIV. PR., May 17",Abrahams,I.,Studies in Pharisaism and the Gospels,CAMB. UNIV. PR.,6s. 6d.,8vo.,"Abrahams (I.)-Studies in Pharisaism and the Gospels. Demy 8vo. 81 x 51, pp. 188, 6s. 6d. net... CAMB. UNIV. PR., May 17",I. Abrahams,['Abrahams (I.)'],,May 17,1917,net
