entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Abbott (E. H.)-On the training of parents. Cr. 8vo., 2s, net ...S.S.U., Jan. 11",Abbott,E. H.,On the training of parents,S.S.U.,2s.,8vo.,"Abbott (E. H.)-On the training of parents. Cr. 8vo., 2s, net ...S.S.U., Jan. 11",E. H. Abbott,['Abbott (E. H.)'],,Jan. 11,1911,net
"Abbott (Eleanor H.)—Molly Make-Believe. Cr. 8vo., pp. 180, is. net.. HEINEMANN, July 11",Abbott,Eleanor H.,Molly Make-Believe,HEINEMANN,,8vo.,"Abbott (Eleanor H.)—Molly Make-Believe. Cr. 8vo., pp. 180, is. net.. HEINEMANN, July 11",Eleanor H. Abbott,['Abbott (Eleanor H.)'],,July 11,1911,
"Abbott (G. F.)—The Philosophy of a Don. Cr. 8vo. 74 X5, pp. 320, 5s. net.. SWIFT, May 11",Abbott,G. F.,The Philosophy of a Don,SWIFT,5s.,8vo.,"Abbott (G. F.)—The Philosophy of a Don. Cr. 8vo. 74 X5, pp. 320, 55. net.. SWIFT, May 11",G. F. Abbott,['Abbott (G. F.)'],,May 11,1911,net
"Abbott (Keene)-A Melody in silver. Cr. 8vo. 71x41, pp. 210, 2s, net ....PUTNAM, Oct. 11",Abbott,Keene,A Melody in silver,PUTNAM,2s.,8vo.,"Abbott (Keene)-A Melody in silver. Cr. 8vo. 71x41, pp. 210, 2s, net ....PUTNAM, Oct. 11",Keene Abbott,['Abbott (Keene)'],,Oct. 11,1911,net
"Abbott (Lyman)-America in the making. Cr. 8vo 74 X 5, pp. 242, 6s. net ......FROWDE, June 11",Abbott,Lyman,America in the making,FROWDE,6s.,8vo,"Abbott (Lyman)-America in the making. Cr. 8vo 74 X 5, pp. 242, 6s. net ......FROWDE, June 11",Lyman Abbott,['Abbott (Lyman)'],,June 11,1911,net
"Abbott (Lyman)—The Spirit of democracy. Cr. 8vo. 8 X5, PP. 224, 4s. 6d. net CONSTABLE, Jan. 11",Abbott,Lyman,The Spirit of democracy,CONSTABLE,4s. 6d.,8vo.,"Abbott (Lyman)—The Spirit of democracy. Cr. 8vo. 8 X5, PP. 224, 45. 6d. net CONSTABLE, Jan. 11",Lyman Abbott,['Abbott (Lyman)'],,Jan. 11,1911,net
"Abbott (S. S.)-The Bee-keeper's companion. Cr. 8vo. 71 X41, pp. 122, 1s. 6d. net ; swd. is. . MILLS & B., July 11",Abbott,S. S.,The Bee-keeper's companion,MILLS & B.,,8vo.,"Abbott (S. S.)-The Bee-keeper's companion. Cr. 8vo. 71 X41, pp. 122, Is. 6d. net ; swd. is. . MILLS & B., July 11",S. S. Abbott,['Abbott (S. S.)'],,July 11,1911,
"Abbott (W. C.)-Colonel Thomas Blood, Crown stealer, 1618–1680. Cr. 8vo., 4s. net FROWDE, May 11",Abbott,W. C.,"Colonel Thomas Blood, Crown stealer",FROWDE,4s.,8vo.,"Abbott (W. C.)-Colonel Thomas Blood, Crown stealer, 1618–1680. Cr. 8vo., 45. net FROWDE, May 11",W. C. Abbott,['Abbott (W. C.)'],,May 11,1911,net
"Abdur Rahim-The Principles of Muhammadan jurisprudence according to the Hanafi, Maliki, Shafi'i and Hanbali Schools. Ryl. 8vo., pp. 460, 21s. net.. .... LUZAC, June 11",,,"Abdur Rahim-The Principles of Muhammadan jurisprudence according to the Hanafi, Maliki, Shafi'i and Hanbali Schools",LUZAC,21s.,8vo.,"Abdur Rahim-The Principles of Muhammadan jurisprudence according to the Hanafi, Maliki, Shafi'i and Hanbali Schools. Ryl. 8vo., pp. 460, 21S. net.. .... LUZAC, June 11",,,,June 11,1911,net
"About Edwin Drood. 8vo. 81x5), pp. 104, 4s. net CAMB. UNIV. PRESS, Feb.11",,,About Edwin Drood,CAMB. UNIV. PRESS,4s.,8vo.,"About Edwin Drood. 8vo. 81x5), pp. 104, 45. net CAMB. UNIV. PRESS, Feb.11",,,,Feb.11,1911,net
"Academy architecture and architectural review. Vol. 39, 1911, Part 1. Founded by Alex, Koch. 4to. 97 x7}, pp. 162, 4s, iod. net ; swd., 4s. net SIMPKIN, Aug. 11",,,Academy architecture and architectural review,SIMPKIN,4s.,4to.,"Academy architecture and architectural review. Vol. 39, 1911, Part 1. Founded by Alex, Koch. 4to. 97 x7}, pp. 162, 4s, iod. net ; swd., 4s. net SIMPKIN, Aug. 11",,,,Aug. 11,1911,net
"Acts--Gas Companies' standard burner No. 2 Act, 1910, 6d.; Llanelly Harbour Act, 1910, s. WYMAN, Jan. 11",,,Acts--Gas Companies' standard burner,WYMAN,,,"Acts--Gas Companies' standard burner No. 2 Act, 1910, 6d.; Llanelly Harbour Act, 1910, IS. WYMAN, Jan. 11",,,,Jan. 11,1911,
"Acts—Great Northern Railway (Ireland). 1911 (Post free.) 3s. 1d........... WYMAN, May Acts — Military lands provisional order Act, (post free) 3}d...... WYMAN, May 11",,,Acts—Great Northern Railway (Ireland),WYMAN,,,"Acts—Great Northern Railway (Ireland). 1911 (Post free.) 3s. Id........... WYMAN, May Acts — Military lands provisional order Act, (post free) 3}d...... WYMAN, May 11",,,,May 11,1911,
"Acts—Upper Medway navigation and con- servancy 6s. 2d. ; London Electric Railway, 4s. 1}d.; Port of London, 61d.; Charles Skier's Charity, 60}. (post free) WYMAN, Sep. 11",,,Acts—Upper Medway navigation and con- servancy,WYMAN,,,"Acts—Upper Medway navigation and con- servancy 6s. 2d. ; London Electric Railway, 45. 1}d.; Port of London, 61d.; Charles Skier's Charity, 60}. (post free) WYMAN, Sep. 11",,,,Sep. 11,1911,
