,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
0,"A. K. H. B. : selections, Boyd (A. K. H.) is. net A. L.” Welcome readers (The). Book Illa. 4to. 9d. net .E. J. ARNOLD, Aug. 14",,,"A. K. H. B. : selections, Boyd (A. K. H.) is",E. J. ARNOLD,9d.,0.0375,4to.,"A. K. H. B. : selections, Boyd (A. K. H.) is. net A. L.” Welcome readers (The). Book Illa. 4to. 9d. net .E. J. ARNOLD, Aug. 14",,,,Aug. 14,net
1," A.L. Welcome readers (The). Books 4A & 5A. 4to, ea. rod. net .E. J. ARNOLD, Sep. 14",,,A.L. Welcome readers (The),E. J. ARNOLD,,0.0,"4to,"," A.L. Welcome readers (The). Books 4A & 5A. 4to, ea. rod. net .E. J. ARNOLD, Sep. 14",,,,Sep. 14,
10,"Abdur Rahman-Eine kritische Profung der Quellen des 1slamitischen Rechts : sources of Muslim law. Ryl. 8vo. 101 x 71, pp. 236, 21s. net MILFORD, July 14",,,Abdur Rahman-Eine kritische Profung der Quellen des,MILFORD,21s.,1.05,8vo.,"Abdur Rahman-Eine kritische Profung der Quellen des Islamitischen Rechts : sources of Muslim law. Ryl. 8vo. 101 x 71, pp. 236, 21s. net MILFORD, July 14",,,,July 14,net
16,"Academy architecture and architectural review. Edit. by Alex. Koch. Vol. 44. 4to. 4s. rod. net, swd. 4s. net ... SIMPKIN, Jan. 14",,,Academy architecture and architectural review,SIMPKIN,4s.,0.2,4to.,"Academy architecture and architectural review. Edit. by Alex. Koch. Vol. 44. 4to. 45. rod. net, swd. 4s. net ... SIMPKIN, Jan. 14",,,,Jan. 14,net
17,"Academy architecture and architectural review. Vol. 4s. 4to, 4s. rod., swd., 4s. A. KOCH, June 14",,,Academy architecture and architectural review,A. KOCH,4s.,0.2,"4to,","Academy architecture and architectural review. Vol. 45. 4to, 4s. rod., swd., 45. A. KOCH, June 14",,,,June 14,
24,"Active service hints: a campaigner's tips for the bivouac, camp and trenches. Written and illus. by the staff of “ The Regiment.” 12mo., pp. 90, Swd. 6d. net .. TEMPLE PRESS, Nov. 14",,,"Active service hints: a campaigner's tips for the bivouac, camp and trenches",TEMPLE PRESS,6d.,0.025,12mo.,"Active service hints: a campaigner's tips for the bivouac, camp and trenches. Written and illus. by the staff of “ The Regiment.” 12mo., pp. 90, Swd. 6d. net .. TEMPLE PRESS, Nov. 14",,,,Nov. 14,net
25,"Active service: share of non-combatant, Maltby (W. R.) ad. net.. Acton, Middlesex, Baker (W. K.) 1os. 6d., 15s. 6d. net Acts--Public General Acts, 1913; with index) tables, &c. In one vol. 8vo., 3s. WYMAN, Jan. 14",,,"Active service: share of non-combatant, Maltby (W. R.) ad",WYMAN,3s.,0.15,8vo.,"Active service: share of non-combatant, Maltby (W. R.) ad. net.. Acton, Middlesex, Baker (W. K.) 1os. 6d., 155. 6d. net Acts--Public General Acts, 1913; with index) tables, &c. In one vol. 8vo., 35. WYMAN, Jan. 14",,,,Jan. 14,
26,"Acts—Index to local and private Acts 1913. . WYMAN, May 14",,,Acts—Index to local and private Acts,WYMAN,,0.0,,"Acts—Index to local and private Acts 1913. . WYMAN, May 14",,,,May 14,
27,"Acts—Aberystwyth Corporation, 38. 9d. ; Aldbar Trust Estates, is. 6d. ; Barry U.D.C., 4s. 6d.; city and South London Railway, 58. 3d; Conyngham Heirlooms, 6d.; Gomm Heirlooms, 6d. ; Morley Corporation, 6s. 3d. ; Nottingham Corporation, is. 6d. ; Reading Corporation, 33. ; Silloth gas, 1s. 60.; Western Valleys (Mon. mouthshire) railless electric_traction, 3s. ; Westminster Hospital, s. WYMAN, Jan, 14",,,Acts—Aberystwyth Corporation,WYMAN,,0.0,,"Acts—Aberystwyth Corporation, 38. 9d. ; Aldbar Trust Estates, is. 6d. ; Barry U.D.C., 45. 6d.; city and South London Railway, 58. 3d; Conyngham Heirlooms, 6d.; Gomm Heirlooms, 6d. ; Morley Corporation, 6s. 3d. ; Nottingham Corporation, is. 6d. ; Reading Corporation, 33. ; Silloth gas, Is. 60.; Western Valleys (Mon. mouthshire) railless electric_traction, 35. ; Westminster Hospital, IS. WYMAN, Jan, 14",,,,"Jan, 14",
29,"Acts—Army (annual) id. . WYMAN, May 14",,,Acts—Army (annual) id. ,WYMAN,,0.0,,"Acts—Army (annual) id. . WYMAN, May 14",,,,May 14,
