entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"A B C of housekeeping, Herrick (c. T.) 2s. net A B C of income tax return making. By a Lay- man. 8vo., pp. 80, 28. 6d. net (Bradford : 7a, Guy's Cliff) AUTHOR, June 15",,,"A B C of housekeeping, Herrick (c",AUTHOR,6d.,8vo.,"A B C of housekeeping, Herrick (c. T.) 25. net A B C of income tax return making. By a Lay- man. 8vo., pp. 80, 28. 6d. net (Bradford : 7a, Guy's Cliff) AUTHOR, June 15",,,,June 15,1915,net
"ABC of Jolly Jack. 4to. bds. 1s. net GALE & P., Oct. 15",,,ABC of Jolly Jack,GALE & P.,1s.,4to.,"ABC of Jolly Jack. 4to. bds. Is. net GALE & P., Oct. 15",,,,Oct. 15,1915,net
"ABC of our soldiers. 4to., bds. is. net GALE & P., Nov. 15",,,ABC of our soldiers,GALE & P.,,4to.,"ABC of our soldiers. 4to., bds. is. net GALE & P., Nov. 15",,,,Nov. 15,1915,
"Abdul Baha.-Talks by A. B., given in Paris, 2nd edit., with additions. Cr. 8vo. 71 x 5, pp. 174, 28. 6d. net ....BELL, Apr. 15",,,Abdul Baha,BELL,6d.,8vo.,"Abdul Baha.-Talks by A. B., given in Paris, 2nd edit., with additions. Cr. 8vo. 71 x 5, pp. 174, 28. 6d. net ....BELL, Apr. 15",,,,Apr. 15,1915,net
"Aberdeen University-Annual statistical report, 1913-14. Ifd. . WYMAN, Mar. 15",,,Aberdeen University-Annual statistical report,WYMAN,,,"Aberdeen University-Annual statistical report, 1913-14. Ifd. . WYMAN, Mar. 15",,,,Mar. 15,1915,
"Academy Architecture and Architectural Review. Vols. 46 and 47. Ryl. 8vo., ea. 4s. rod. net, swd. 43. net ...OFFICE, Feb., etc. 15",,,Academy Architecture and Architectural Review,OFFICE,,8vo.,"Academy Architecture and Architectural Review. Vols. 46 and 47. Ryl. 8vo., ea. 45. rod. net, swd. 43. net ...OFFICE, Feb., etc. 15",,,,"Feb., etc. 15",1915,
"Achievement of France (The). Repr. fr. The Times. 18mo. is. net swd. METHUEN, July 15",,,Achievement of France (The),METHUEN,,18mo.,"Achievement of France (The). Repr. fr. The Times. 18mo. is. net swd. METHUEN, July 15",,,,July 15,1915,
"(Trustees), £d. ; Caledonian Railway Ord. Confirm., 1s. 6d.; L.G.B.'s Prov. Ord. Confirm. (No. I), is. WYMAN, July 15",,,"Trustees), £d",WYMAN,,,"(Trustees), £d. ; Caledonian Railway Ord. Confirm., Is. 6d.; L.G.B.'s Prov. Ord. Confirm. (No. I), is. WYMAN, July 15",,,,July 15,1915,
"Acts—Appropriation, 3d.; Cotton Associations (Emergency action), 4d. ; Customs (War powers) (No. 2), d.; Elections and Registra- tion, d.; Execution of Trusts (War facilities) Amend., d. ; Expiring Laws Continuance, id. ; Finance, 2ld.; Government of India, 7d. ; 1sle of Man (Customs), Jd.; Maintenance of Live Stock, d.; Milk and Dairies (Consolidation), 2 d.; Naval Discipline (No. 2), id.; Notifica- tion of Births (Extension), fd.; Police Magis- trates (Superannuation); }d.; Price of Coal (Limitation) 1d.; Public Works Loan, id. ; Scottish Universities (Emergency Powers), d.; Special Acts (Extension of time), 1d.; Trading with the Enemy Amend., įd.; Naval Discip- line, 1866 (as amended, N.D. (No. 2) Act, 1915), 4d.; Electric Lighting Ord. Confirm. (No. 1.), 6d.; Forfar Gas Ord. Confirm., 1s. ; Frimley and Farnborough District Water, 1s. ; Gt. North of Scotland Railway Ord. Confirm., is. gd.; Highland Railway Ord. Confirm., 6d.; Irvine and District Water Bd. (Emergency powers) Ord. Confirm., is. ; L.G.B.'s Prov. Ord. Confirm. : No. 2, is. 6d. ; No. 3, is. ; No. 4, 9d.; No. 7, 3d. ; L.C.C. Money, gil.; L.C.C. Parks, &c., 6d. ; Metropolitan District Rail- way, 2s. 3d. ; Pack-Beresford's Divorce, gd.; Roy. School for Deaf and Dumb Children, Mar- gate, 66. ; Sea Fisheries (Cardigan Bay) Prov. Ord. Confirm., 6d. ; do. Poole, 9d. ; Tramways Ord. Confirm., 6d. WYMAN, Aug 15",,,Acts—Appropriation,WYMAN,6d.,,"Acts—Appropriation, 3d.; Cotton Associations (Emergency action), 4d. ; Customs (War powers) (No. 2), d.; Elections and Registra- tion, d.; Execution of Trusts (War facilities) Amend., d. ; Expiring Laws Continuance, id. ; Finance, 2ld.; Government of India, 7d. ; Isle of Man (Customs), Jd.; Maintenance of Live Stock, d.; Milk and Dairies (Consolidation), 2 d.; Naval Discipline (No. 2), id.; Notifica- tion of Births (Extension), fd.; Police Magis- trates (Superannuation); }d.; Price of Coal (Limitation) Id.; Public Works Loan, id. ; Scottish Universities (Emergency Powers), d.; Special Acts (Extension of time), 1d.; Trading with the Enemy Amend., įd.; Naval Discip- line, 1866 (as amended, N.D. (No. 2) Act, 1915), 4d.; Electric Lighting Ord. Confirm. (No. 1.), 6d.; Forfar Gas Ord. Confirm., Is. ; Frimley and Farnborough District Water, 15. ; Gt. North of Scotland Railway Ord. Confirm., is. gd.; Highland Railway Ord. Confirm., 6d.; Irvine and District Water Bd. (Emergency powers) Ord. Confirm., is. ; L.G.B.'s Prov. Ord. Confirm. : No. 2, is. 6d. ; No. 3, is. ; No. 4, 9d.; No. 7, 3d. ; L.C.C. Money, gil.; L.C.C. Parks, &c., 6d. ; Metropolitan District Rail- way, 2s. 3d. ; Pack-Beresford's Divorce, gd.; Roy. School for Deaf and Dumb Children, Mar- gate, 66. ; Sea Fisheries (Cardigan Bay) Prov. Ord. Confirm., 6d. ; do. Poole, 9d. ; Tramways Ord. Confirm., 6d. WYMAN, Aug 15",,,,Aug 15,1915,
"Acts—Ascot District Gas and Electricity, is. 3d. ; Blyth Harbour, is. 3d. ; Bristol Tramways, 3d.; Bury and District Joint Water Bd., 6d. ; Doncaster Corporation, 4s. 6d.; Dunfermline and District Tramways (Exten.) Ord. Confirm., 2s. ; Falmouth Docks, is.; Foleshill Road (Coventry) Congregational Chapel Scheme Confirm., 6d.; Gas and Water Ord. Confirm. (No. 1), 43. ; Glasgow Corporation (Parks, &c.) Ord. Confirm., is, 6d.; Great Central Railway, 6d. ; Ilfracombe Gas, 2s. ; Irvine and District Water Bd. Confirm., 1s. 3d. ; Kilmarnock Gas Ord. Confirm., 3d. ; Land Drainage Prov. Ord. Confirm. (Fangfoss, &c.), 3d. ; Ditto (Ouse), 1s.; Liverpool Corporation, 9d.; L.G.B. Prov. Ord. Confirm. (No. 6), is. 6d.; L.G.B. (Ireland) Prov. Ord. Confirm. (No. 1), is. ; London Chatham and Dover Railway, gd. ; London Electric Railway Companies' Facilities, 3d.; Mersey Railway, 6d.; Port Glasgow Gas and Burgh Exten. Ord. Confirm., 2s. 3d. ; Prov. Ord. (Marriages) Confirm., 3d.; Salop County Council (Shirehall and Guildhall), 9d. ; Sheffield Corporation (Tramways), gd.; Skegness Gas 2s. 3d. ; South Staffordshire Waterworks, 3s. ; Southend Waterworks, s. WYMAN, Sept. 15",,,"Acts—Ascot District Gas and Electricity, is",WYMAN,,,"Acts—Ascot District Gas and Electricity, is. 3d. ; Blyth Harbour, is. 3d. ; Bristol Tramways, 3d.; Bury and District Joint Water Bd., 6d. ; Doncaster Corporation, 4s. 6d.; Dunfermline and District Tramways (Exten.) Ord. Confirm., 25. ; Falmouth Docks, is.; Foleshill Road (Coventry) Congregational Chapel Scheme Confirm., 6d.; Gas and Water Ord. Confirm. (No. 1), 43. ; Glasgow Corporation (Parks, &c.) Ord. Confirm., is, 6d.; Great Central Railway, 6d. ; Ilfracombe Gas, 25. ; Irvine and District Water Bd. Confirm., Is. 3d. ; Kilmarnock Gas Ord. Confirm., 3d. ; Land Drainage Prov. Ord. Confirm. (Fangfoss, &c.), 3d. ; Ditto (Ouse), 15.; Liverpool Corporation, 9d.; L.G.B. Prov. Ord. Confirm. (No. 6), is. 6d.; L.G.B. (Ireland) Prov. Ord. Confirm. (No. 1), is. ; London Chatham and Dover Railway, gd. ; London Electric Railway Companies' Facilities, 3d.; Mersey Railway, 6d.; Port Glasgow Gas and Burgh Exten. Ord. Confirm., 25. 3d. ; Prov. Ord. (Marriages) Confirm., 3d.; Salop County Council (Shirehall and Guildhall), 9d. ; Sheffield Corporation (Tramways), gd.; Skegness Gas 25. 3d. ; South Staffordshire Waterworks, 3s. ; Southend Waterworks, IS. WYMAN, Sept. 15",,,,Sept. 15,1915,
