entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
"A B C guide for attested and unattested. 32mo. 4*X3, swd. id.............LARBY, June 16",,,A B C guide for attested and unattested,LARBY,,32mo.,"A B C guide for attested and unattested. 32mo. 4*X3, swd. id.............LARBY, June 16",,,,June 16,
"A B C guide to London, 1916. Cr. 8vo. 64 x 48, swd. 4d. .LARBY, Aug. 16",,,A B C guide to London,LARBY,4d.,8vo.,"A B C guide to London, 1916. Cr. 8vo. 64 x 48, swd. 4d. .LARBY, Aug. 16",,,,Aug. 16,
"A B C of banking (The). By “L. S. D.” Cr. 8vo. 74 X 5, pp. 150, 28. 6d. net BARNICOTT & P., Jan. 16",,,A B C of banking (The),BARNICOTT & P.,6d.,8vo.,"A B C of banking (The). By “L. S. D.” Cr. 8vo. 74 X 5, pp. 150, 28. 6d. net BARNICOTT & P., Jan. 16",,,,Jan. 16,net
" A. L. Bright story readers. Grade 3. Cr. 8vo. 71 x 57, pp. 63, swd. 3d. E. J. ARNOLD, July 16",,,A. L. Bright story readers,E. J. ARNOLD,3d.,8vo.," A. L. Bright story readers. Grade 3. Cr. 8vo. 71 x 57, pp. 63, swd. 3d. E. J. ARNOLD, July 16",,,,July 16,
"A. L. Bright story readers. No. 116, The Nightingale and the bottle neck. Cr. 8vo. 77 x 51, pp. 32, swd, 2d. E. J. ARNOLD, Aug. 16",,,A. L. Bright story readers,E. J. ARNOLD,2d.,8vo.,"A. L. Bright story readers. No. 116, The Nightingale and the bottle neck. Cr. 8vo. 77 x 51, pp. 32, swd, 2d. E. J. ARNOLD, Aug. 16",,,,Aug. 16,
"Acts-Index to Public General Acts, 1914-16, W. tables, &c. 7d. ..WYMAN, Feb. 16",,,Acts-Index to Public General Acts,WYMAN,7d.,,"Acts-Index to Public General Acts, 1914-16, W. tables, &c. 7d. ..WYMAN, Feb. 16",,,,Feb. 16,
"Acts Local and Private Acts, 1914-16, w. index, tables, &c. 4s. WYMAN, Aug. 16",,,Acts Local and Private Acts,WYMAN,4s.,,"Acts Local and Private Acts, 1914-16, w. index, tables, &c. 4s. WYMAN, Aug. 16",,,,Aug. 16,
"Acts—Public General Acts, 1914-16, w. index, tables, &c. 3s. WYMAN, Apr. 16",,,Acts—Public General Acts,WYMAN,3s.,,"Acts—Public General Acts, 1914-16, w. index, tables, &c. 35. WYMAN, Apr. 16",,,,Apr. 16,
"Acts-Education (Small population grants), fd.; Evidence (Amend.), d.; Increase of rent and mortgage interest (war restric.), id.; Indict- ments, 2 d.; Trading with the Enemy (Exten. of powers), įd. ; War Loan (Supp. prov.), id. Local and private : Beamish divorce, 9d. ; Clackmannan County Water Order, 38. 3d. ; Denny's divorce, 6d.; Glasgow Water Ord. Confirm., 2s. 9d.; Lincoln Corporation, 6s.; L.C.C. (Celluloid), is, 3d. ; do. (Tramways and improvements), is.gd. ; Pier and Harbour Ord. Confirm. (No. 2), 2s. 3d. ; Port Dundas Church and Parish, Quoad Sacra, Glasgow Ord. Confirm., 6d. ; Rhondda Urban Distr. Council (Tramways Exten.), 2s. 6d. ; Stalybridge, &c., Tramways and Elec. Bd., 3s. 6. WYMAN, Jan. 16",,,Increase of rent and mortgage interest (war restric,WYMAN,,,"Acts-Education (Small population grants), fd.; Evidence (Amend.), d.; Increase of rent and mortgage interest (war restric.), id.; Indict- ments, 2 d.; Trading with the Enemy (Exten. of powers), įd. ; War Loan (Supp. prov.), id. Local and private : Beamish divorce, 9d. ; Clackmannan County Water Order, 38. 3d. ; Denny's divorce, 6d.; Glasgow Water Ord. Confirm., 25. 9d.; Lincoln Corporation, 6s.; L.C.C. (Celluloid), is, 3d. ; do. (Tramways and improvements), is.gd. ; Pier and Harbour Ord. Confirm. (No. 2), 25. 3d. ; Port Dundas Church and Parish, Quoad Sacra, Glasgow Ord. Confirm., 6d. ; Rhondda Urban Distr. Council (Tramways Exten.), 25. 6d. ; Stalybridge, &c., Tramways and Elec. Bd., 35. 6. WYMAN, Jan. 16",,"['Acts-Education (Small population grants), fd.; Evidence (Amend.)']",,Jan. 16,
"Acts—Courts (Emerg. powers) : Amend., d; Education (Prov. of meals) : Ireland, d.; Finance (New duties), 1 d.; Local govern- ment (Energ. prov.), 2d.; Marriage (Scotland), 1d. ; Military service, 1 d. ; Summer time, fd.; War risks (Insurance by trustees), 4d. ; Army act (1885, w. Amend. to end of Sess. 5 and 6 Geo. V), is. ; Plymouth Corporation, 15s. 6d. WYMAN, May 16",,,Acts—Courts (Emerg,WYMAN,15s. 6d.,,"Acts—Courts (Emerg. powers) : Amend., d; Education (Prov. of meals) : Ireland, d.; Finance (New duties), 1 d.; Local govern- ment (Energ. prov.), 2d.; Marriage (Scotland), Id. ; Military service, 1 d. ; Summer time, fd.; War risks (Insurance by trustees), 4d. ; Army act (1885, w. Amend. to end of Sess. 5 and 6 Geo. V), is. ; Plymouth Corporation, 155. 6d. WYMAN, May 16",,,,May 16,
"Acts—British North America, Jd. ; Consolidated Fund (No. 3), įd.; Courts (Emerg. Powers), d.; Naval discipline (Delegation of powers), {d.; Aberdeen Corp. Water Ord. Confirm., 5s. ; Gas orders confirm., 3d. ...WYMAN, J une 16",,,"Acts—British North America, Jd",WYMAN,3d.,,"Acts—British North America, Jd. ; Consolidated Fund (No. 3), įd.; Courts (Emerg. Powers), d.; Naval discipline (Delegation of powers), {d.; Aberdeen Corp. Water Ord. Confirm., 55. ; Gas orders confirm., 3d. ...WYMAN, J une 16",,,,J une 16,
"Acts—Finance, 4]d ; Marriage of British subjects (facilities) amendment, d.; Nat. Insurance (Pt. 2) (Munition workers), id.; Re-election of ministers, kd.; Royal marines, fd. Local and private : Alexander's restitution, 3d. ; Cardiff Railway, 3d. ; Colonial bank, 3d. WYMAN, July 16",,,"Acts—Finance, 4]d ; Marriage of British subjects (facilities) amendment, d",WYMAN,3d.,,"Acts—Finance, 4]d ; Marriage of British subjects (facilities) amendment, d.; Nat. Insurance (Pt. 2) (Munition workers), id.; Re-election of ministers, kd.; Royal marines, fd. Local and private : Alexander's restitution, 3d. ; Cardiff Railway, 3d. ; Colonial bank, 3d. WYMAN, July 16",,,,July 16,
"Acts—Anglo-Portuguese commercial treaty, id. ; Army (Courts of inquiry), įd.; British ships (Transfer restric.), jd.; Consolidated Fund (No. 4), įd.; Elem. education (Fee grant), įd.; Expiring laws continuance, id.; Finance (Exchequer Bonds) Amendment, Jd.; Gas (Standard of calorific power), 4d.; Government of India (Amend.), 1 d.; 1sle of Man (Customs), id.; Law procedure (Emerg. prov.) (Ireland), d. ; Merchant shipping (Salvage), id. ; Muni- cipal savings banks (War Loan invest.), jd.; Output of beer (Restric.), id.; Parliament and local elections, id.; Police, factories, &c. (Misc. prov.), itd.; Public works loans, įd.; Small holding colonies, id.; Special Cominis- sions (Dardanelles and Mesopotamia), d.; Telegraph (Construction), įd.; Time (Ireland), d. ; Trading with the Enemy (Copyright), 1d.; War charities, Ild. Local and private : Burnley Corporation, 9d. ; City of Dublin Steam Packet Company, 6d.; Edinburgh Corporation Ord. Confirm., 3s. 30.; Electric Lighting Ord. Confirm., 6d.; Halifax Corporation Act Prov. Ord. Confirm., 3d.; Imperial Continental Gas Association, gd.; Land drainage (Feltwell) Prov. Ord. Confirm., 6d.; Local Gov. Board's Prov. Ord. Confirm., No. 1, 9d. ; do., No. 2, s. ; do., No. 4, 9d.; do., No. 6, 6d.; Local Govt. Board (Ireland) Prov. Ord. Confirm. No. 1, 3d.; do., (Gas), 6d.; Metropolitan Electric Tram- ways, 6d.; Plymouth and Stonehouse gas, s. 3d. ; Prov. Ord. (Marriages) Confirm., 3d. ; Swansea Harbour, 6d.; Weston-super-Mare Grand Pier, gd. .. WYMAN, Aug. 16",,,"Acts—Anglo-Portuguese commercial treaty, id. ; Army (Courts of inquiry), įd",WYMAN,,,"Acts—Anglo-Portuguese commercial treaty, id. ; Army (Courts of inquiry), įd.; British ships (Transfer restric.), jd.; Consolidated Fund (No. 4), įd.; Elem. education (Fee grant), įd.; Expiring laws continuance, id.; Finance (Exchequer Bonds) Amendment, Jd.; Gas (Standard of calorific power), 4d.; Government of India (Amend.), 1 d.; Isle of Man (Customs), id.; Law procedure (Emerg. prov.) (Ireland), d. ; Merchant shipping (Salvage), id. ; Muni- cipal savings banks (War Loan invest.), jd.; Output of beer (Restric.), id.; Parliament and local elections, id.; Police, factories, &c. (Misc. prov.), itd.; Public works loans, įd.; Small holding colonies, id.; Special Cominis- sions (Dardanelles and Mesopotamia), d.; Telegraph (Construction), įd.; Time (Ireland), d. ; Trading with the Enemy (Copyright), Id.; War charities, Ild. Local and private : Burnley Corporation, 9d. ; City of Dublin Steam Packet Company, 6d.; Edinburgh Corporation Ord. Confirm., 3s. 30.; Electric Lighting Ord. Confirm., 6d.; Halifax Corporation Act Prov. Ord. Confirm., 3d.; Imperial Continental Gas Association, gd.; Land drainage (Feltwell) Prov. Ord. Confirm., 6d.; Local Gov. Board's Prov. Ord. Confirm., No. 1, 9d. ; do., No. 2, IS. ; do., No. 4, 9d.; do., No. 6, 6d.; Local Govt. Board (Ireland) Prov. Ord. Confirm. No. 1, 3d.; do., (Gas), 6d.; Metropolitan Electric Tram- ways, 6d.; Plymouth and Stonehouse gas, IS. 3d. ; Prov. Ord. (Marriages) Confirm., 3d. ; Swansea Harbour, 6d.; Weston-super-Mare Grand Pier, gd. .. WYMAN, Aug. 16",,,,Aug. 16,
"Acts—Local and private : Alexandra (Newport and S. Wales) Docks and Railway, gd. ; Canada Co., 39. 6d. ; Clayton Aniline Co., Ltd. (Railways), 2s. 6d. ; Craven Estates, 23. 9d. ; Land Drainage (Lilleshall) Prov. Ord. Confirm., 3d.; L. G. Bd.'s Prov. Ord. Confirm. No. 3, 1s. 6d.; do., No. 5, 1s. 6d. ; do., No. 7, 6d. ; L. G. Bd. (Ireland) Prov. Ord. Confirm., No. 2, 6d.; L. C.C. (Money), gd. ; South Metropolitan Gas, is. . WYMAN, Sep. 16",,,"Acts—Local and private : Alexandra (Newport and S. Wales) Docks and Railway, gd",WYMAN,,,"Acts—Local and private : Alexandra (Newport and S. Wales) Docks and Railway, gd. ; Canada Co., 39. 6d. ; Clayton Aniline Co., Ltd. (Railways), 25. 6d. ; Craven Estates, 23. 9d. ; Land Drainage (Lilleshall) Prov. Ord. Confirm., 3d.; L. G. Bd.'s Prov. Ord. Confirm. No. 3, Is. 6d.; do., No. 5, Is. 6d. ; do., No. 7, 6d. ; L. G. Bd. (Ireland) Prov. Ord. Confirm., No. 2, 6d.; L. C.C. (Money), gd. ; South Metropolitan Gas, is. . WYMAN, Sep. 16",,,,Sep. 16,
"Acts Local and private: Great Central and Sheffield District Railway, gd.; Municipal corporations (Buxton scheme confirm.), is. 3d. ; North British Railway, is. 3d. ; Pier and Har- bour Prov. Ord. Confirm., 2s. 3d. ; River Glen, s. ; Saint John's Church, Kingston-upon-Hull, 3d.; Shropshire, Worcestershire, and Staffordshire electric power, 6d. ; Van Diemen's Land Company, 2s. 9d. ...WYMAN, Oct. 16",,,"Acts Local and private: Great Central and Sheffield District Railway, gd",WYMAN,2s. 9d.,,"Acts Local and private: Great Central and Sheffield District Railway, gd.; Municipal corporations (Buxton scheme confirm.), is. 3d. ; North British Railway, is. 3d. ; Pier and Har- bour Prov. Ord. Confirm., 25. 3d. ; River Glen, IS. ; Saint John's Church, Kingston-upon-Hull, 3d.; Shropshire, Worcestershire, and Staffordshire electric power, 6d. ; Van Diemen's Land Company, 2s. 9d. ...WYMAN, Oct. 16",,,,Oct. 16,
"Admiralty-Flags of all nations, Admiralty bk. of. 2S. WYMAN, Oct. 16",,,"Admiralty-Flags of all nations, Admiralty bk",S. WYMAN,,,"Admiralty-Flags of all nations, Admiralty bk. of. 2IS. WYMAN, Oct. 16",,,,Oct. 16,
"Admiralty-Hydrographic. Supplements to Pilots are gratis to purchasers of various Pilots. Admiralty-Hydrographic. Africa pilot. Pt. 2, 1910: Rev. supp., 1916 ..POTTER, Apr. 16",,,Admiralty-Hydrographic,POTTER,,,"Admiralty-Hydrographic. Supplements to Pilots are gratis to purchasers of various Pilots. Admiralty-Hydrographic. Africa pilot. Pt. 2, 1910: Rev. supp., 1916 ..POTTER, Apr. 16",,,,Apr. 16,
"Admiralty--Hydrographic. Arctic pilot. Vol. 2, 1911 : Supp. (2), 1915; Vol. 3. 2nd ed., 1915 6s. POTTER, Jan. 16",,,Admiralty--Hydrographic,POTTER,6s.,,"Admiralty--Hydrographic. Arctic pilot. Vol. 2, 1911 : Supp. (2), 1915; Vol. 3. 2nd ed., 1915 6s. POTTER, Jan. 16",,,,Jan. 16,
"Admiralty-Hydrographic. Australia directory, Vol. 1, 1907. Rev. supp. (2), 1916 POTTER, June 16",,,Admiralty-Hydrographic,POTTER,,,"Admiralty-Hydrographic. Australia directory, Vol. 1, 1907. Rev. supp. (2), 1916 POTTER, June 16",,,,June 16,
"Admiralty-Hydrographic. Baltic pilot, Pt. 2, 1914, Supp., 1916; Do., Pt. 3, 1913, Supp., .POTTER, July 16",,,Admiralty-Hydrographic,POTTER,,,"Admiralty-Hydrographic. Baltic pilot, Pt. 2, 1914, Supp., 1916; Do., Pt. 3, 1913, Supp., .POTTER, July 16",,,,July 16,
"Admiralty-Hydrographic. Bay of Bengal pilot, 1910 : Rev. supp., 1916 ..POTTER, Apr. 16",,,Admiralty-Hydrographic,POTTER,,,"Admiralty-Hydrographic. Bay of Bengal pilot, 1910 : Rev. supp., 1916 ..POTTER, Apr. 16",,,,Apr. 16,
"Admiralty-Hydrographic. Black Sea pilot, 1908 : Supp. No. 3, 1916. .POTTER, Sep. 16",,,Admiralty-Hydrographic,POTTER,,,"Admiralty-Hydrographic. Black Sea pilot, 1908 : Supp. No. 3, 1916. .POTTER, Sep. 16",,,,Sep. 16,
"Admiralty-Hydrographic. British Columbia pilot. Vols. I and 2, 1913 : Supps., 1915, POTTER, Feb. 16",,,Admiralty-Hydrographic,POTTER,,,"Admiralty-Hydrographic. British Columbia pilot. Vols. I and 2, 1913 : Supps., 1915, POTTER, Feb. 16",,,,Feb. 16,
"Admiralty - Hydrographic. England (West Coast) pilot, 1916. Rev. supp., 1916 POTTER, July 16",,,Admiralty - Hydrographic,POTTER,,,"Admiralty - Hydrographic. England (West Coast) pilot, 1916. Rev. supp., 1916 POTTER, July 16",,,,July 16,
"Admiralty-Hydrographic. France, Spain and Portugal (West Coasts) pilot, 1910: Rev. supp., .POTTER, Feb. 16",,,Admiralty-Hydrographic,POTTER,,,"Admiralty-Hydrographic. France, Spain and Portugal (West Coasts) pilot, 1910: Rev. supp., .POTTER, Feb. 16",,,,Feb. 16,
"Admiralty-Hydrographic. Irish Coast pilot, 1911. Rev. supplement, 1916 POTTER, July 16",,,Admiralty-Hydrographic,POTTER,,,"Admiralty-Hydrographic. Irish Coast pilot, 1911. Rev. supplement, 1916 POTTER, July 16",,,,July 16,
"Admiralty-Hydrographic. Lights and time signals, List of, 1916. Pt. 1, British 1slands, is. 6d. ; 2, North and Arctic Seas, except Brit. 1sles, 28. 6d. ; 3, Baltic Sea, 2s. ; 4, E. side of N. and S. Atlantic Oceans, S. of Dunkerque, 1s. 6d. ; 5, Mediterranean, Black and Red Seas, is. 6d.; 6, Indian and West Pacific Oceans, 2s.; 7, W. side of S. Atlantic Ocean and E. Pacific Ocean, is. ; 8, W. side of N. Atlantic Ocean (Canada, Newfoundland and Labrador), is. 6d. ; 9, do. (U.S. of America, Gulf of Mexico, West Indies and N. Coast of S. America to Cape Orange), is. 6d. .POTTER, Feb. 16",,,Admiralty-Hydrographic,POTTER,6d.,,"Admiralty-Hydrographic. Lights and time signals, List of, 1916. Pt. 1, British Islands, is. 6d. ; 2, North and Arctic Seas, except Brit. Isles, 28. 6d. ; 3, Baltic Sea, 2s. ; 4, E. side of N. and S. Atlantic Oceans, S. of Dunkerque, Is. 6d. ; 5, Mediterranean, Black and Red Seas, is. 6d.; 6, Indian and West Pacific Oceans, 25.; 7, W. side of S. Atlantic Ocean and E. Pacific Ocean, is. ; 8, W. side of N. Atlantic Ocean (Canada, Newfoundland and Labrador), is. 6d. ; 9, do. (U.S. of America, Gulf of Mexico, West Indies and N. Coast of S. America to Cape Orange), is. 6d. .POTTER, Feb. 16",,,,Feb. 16,
"Admiralty-Hydrographic. Notices to mariners, Index to, 1915, s. .POTTER, Feb. 16",,,Admiralty-Hydrographic,POTTER,,,"Admiralty-Hydrographic. Notices to mariners, Index to, 1915, IS. .POTTER, Feb. 16",,,,Feb. 16,
