,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
2,"Acts-Abertillery and District Water Board Act, 1910, 7s. . WYMAN, Dec. 10",,,Acts-Abertillery and District Water Board Act,WYMAN,7s.,0.35,,"Acts-Abertillery and District Water Board Act, 1910, 75. . WYMAN, Dec. 10",,,,Dec. 10,
3,"Acts—Appropriation Act, 1910, 3d. ; Hotels and Restaurants (Dublin), fd.; Standard Life Assurance Company, 3s..... WYMAN, Aug. 10",,,Acts—Appropriation Act,WYMAN,3s.,0.15,,"Acts—Appropriation Act, 1910, 3d. ; Hotels and Restaurants (Dublin), fd.; Standard Life Assurance Company, 35..... WYMAN, Aug. 10",,,,Aug. 10,
4,"Acts-Assam Railways and Trading Company, s.; Provident Association of London, is. 6d.; City of London Tithes and Rates, 6d. WYMAN, Sep. 10",,,"Acts-Assam Railways and Trading Company, s",WYMAN,6d.,0.025,,"Acts-Assam Railways and Trading Company, IS.; Provident Association of London, is. 6d.; City of London Tithes and Rates, 6d. WYMAN, Sep. 10",,,,Sep. 10,
5,"Acts—Bradford Corporation Act, 1910, 4s.; Glasgow Gas Act, 1910, 3s. 3d. ; Expiring Laws Continuance Act, id. .. WYMAN, Dec. 10",,,Acts—Bradford Corporation Act,WYMAN,,0.0,,"Acts—Bradford Corporation Act, 1910, 45.; Glasgow Gas Act, 1910, 35. 3d. ; Expiring Laws Continuance Act, id. .. WYMAN, Dec. 10",,,,Dec. 10,
6,"Acts—Bury Corporation, 12s. ; Colinton Tram- ways Order Confirmation, 5s. gd. WYMAN, Jan. 10",,,Acts—Bury Corporation,WYMAN,,0.0,,"Acts—Bury Corporation, 125. ; Colinton Tram- ways Order Confirmation, 55. gd. WYMAN, Jan. 10",,,,Jan. 10,
7,"Acts—Caledonian Railway Order, s. 9d. ; Fraserburg Water Order, 2s. 3d. ; Tramways Order Confirmation, 2s. 3d... WYMAN, Sep. 09 Acts—Cambridge University and Town Water- works, 2s. 9d.; Garnant Gas, is. 3d. ; South Lincolnshire Water, 6d. ; Thorne and District Water, s. 6d.; Nottingham Corporation, 1s. gd. WYMAN, Nov. 10",,,"Acts—Caledonian Railway Order, s",WYMAN,,0.0,,"Acts—Caledonian Railway Order, IS. 9d. ; Fraserburg Water Order, 2s. 3d. ; Tramways Order Confirmation, 25. 3d... WYMAN, Sep. 09 Acts—Cambridge University and Town Water- works, 25. 9d.; Garnant Gas, is. 3d. ; South Lincolnshire Water, 6d. ; Thorne and District Water, IS. 6d.; Nottingham Corporation, Is. gd. WYMAN, Nov. 10",,,,Nov. 10,
8,"Acts—Cardiff Corporation, 3s... WYMAN, Dec. Io Acts Central Argentine Railway, Ltd., 9d. ; Clydebank and District Water Order Confirma- tion, is. ; Electric Lighting Order Confirmation, No. 4, 6d. .WYMAN, Oct. 1o Acts-Finance Act, 1909-10, 10 d. WYMAN, May 10",,,Acts—Cardiff Corporation,WYMAN,,0.0,,"Acts—Cardiff Corporation, 35... WYMAN, Dec. Io Acts Central Argentine Railway, Ltd., 9d. ; Clydebank and District Water Order Confirma- tion, is. ; Electric Lighting Order Confirmation, No. 4, 6d. .WYMAN, Oct. 1o Acts-Finance Act, 1909-10, 10 d. WYMAN, May 10",,,,May 10,
9,"Acts—Finance Act, 1910, £d. ..WYMAN, Dec. 10",,,Acts—Finance Act,WYMAN,,0.0,,"Acts—Finance Act, 1910, £d. ..WYMAN, Dec. 10",,,,Dec. 10,
10,"Acts-Great Central Railway, 28. 3d.; Great Grimsby Gas, 28....... .WYMAN, Nov. 10",,,Acts-Great Central Railway,WYMAN,,0.0,,"Acts-Great Central Railway, 28. 3d.; Great Grimsby Gas, 28....... .WYMAN, Nov. 10",,,,Nov. 10,
11,"Acts—Land Drainage, Provisional Order, No. 3, 3d.; Local Government Board (Ireland), Provisional Order, No. 5, 6d.; Southend Waterworks, is. 60. ; Electric Lighting Orders Confirmation, 6d. WYMAN, Sep. 10",,,"Acts—Land Drainage, Provisional Order",WYMAN,6d.,0.025,,"Acts—Land Drainage, Provisional Order, No. 3, 3d.; Local Government Board (Ireland), Provisional Order, No. 5, 6d.; Southend Waterworks, is. 60. ; Electric Lighting Orders Confirmation, 6d. WYMAN, Sep. 10",,,,Sep. 10,
12,"Acts—Licensing Consolidation, 8d. ; 1sle of Man Customs, kd.; Registration of Births, Deaths and Marriages, Scotland, d.; Accession Declaration, ld. ; Jury Trials : Scotland, }d. ; Public Works Loans, 1d.; Regency, 1d.; Civil List, id. ; Census, Great Britain, id. ; Yorkshire Electric Power, 6d. ; Port of London (Port Rate on Goods Provisional Order), 3s. 9d. ; Agricultural Holdings (Scotland), kd.; Diseases of Animals, id... .WYMAN, Aug. 10",,,Acts—Licensing Consolidation,WYMAN,,0.0,,"Acts—Licensing Consolidation, 8d. ; Isle of Man Customs, kd.; Registration of Births, Deaths and Marriages, Scotland, d.; Accession Declaration, ld. ; Jury Trials : Scotland, }d. ; Public Works Loans, Id.; Regency, Id.; Civil List, id. ; Census, Great Britain, id. ; Yorkshire Electric Power, 6d. ; Port of London (Port Rate on Goods Provisional Order), 3s. 9d. ; Agricultural Holdings (Scotland), kd.; Diseases of Animals, id... .WYMAN, Aug. 10",,,,Aug. 10,
13,"Acts Local Government Board (Ireland), Pro- visional Order, No. 1, 6d.; Provisional Order No. 2, 6d. .WYMAN, June 10",,,"Acts Local Government Board (Ireland), Pro- visional Order",WYMAN,6d.,0.025,,"Acts Local Government Board (Ireland), Pro- visional Order, No. 1, 6d.; Provisional Order No. 2, 6d. .WYMAN, June 10",,,,June 10,
14,"Acts Local Government Board's Provisional Order, No. 10, s. 3d.; Ditto, No. 5, s. ; Falkirk Corporation Gas Order, 9d. WYMAN, Oct. 10",,,Acts Local Government Board's Provisional Order,WYMAN,9d.,0.0375,,"Acts Local Government Board's Provisional Order, No. 10, IS. 3d.; Ditto, No. 5, IS. ; Falkirk Corporation Gas Order, 9d. WYMAN, Oct. 10",,,,Oct. 10,
15,"Acts—Local Government Board's Provisional Order Confirmation, No. 8, 1s. 6d.; Ditto No. 7, 1s. 3d. ; Water Provisional Order, 6d.; Highland Railway Order Confirmation, 3d. ; Gas Orders Confirmation, No. 2, 49. 3d.; Pier and Harbour Orders Confirmation, No. 2, is. gd. ; Surbiton Urban District Council, 6d. ; Electric Lighting Orders Confirmation, No. 2, s. 6d. . WYMAN, Oct. 10",,,Acts—Local Government Board's Provisional Order Confirmation,WYMAN,6d.,0.025,,"Acts—Local Government Board's Provisional Order Confirmation, No. 8, Is. 6d.; Ditto No. 7, Is. 3d. ; Water Provisional Order, 6d.; Highland Railway Order Confirmation, 3d. ; Gas Orders Confirmation, No. 2, 49. 3d.; Pier and Harbour Orders Confirmation, No. 2, is. gd. ; Surbiton Urban District Council, 6d. ; Electric Lighting Orders Confirmation, No. 2, IS. 6d. . WYMAN, Oct. 10",,,,Oct. 10,
16,"Acts Local Government Provisional Order, No. 3, 1s. 3d. .WYMAN, Sep. 10",,,Acts Local Government Provisional Order,WYMAN,1s. 3d.,0.0625,,"Acts Local Government Provisional Order, No. 3, Is. 3d. .WYMAN, Sep. 10",,,,Sep. 10,
17,"Acts--London County Council Tramways and Improvements, 3s. ; Norwich Charities Scheme, 4s. ; Water Orders Confirmation, 2s. 3d. ; Gas Orders Confirmation, No. 3, 2s. 6d. WYMAN, Oct. 10",,,Acts--London County Council Tramways and Improvements,WYMAN,2s. 6d.,0.125,,"Acts--London County Council Tramways and Improvements, 35. ; Norwich Charities Scheme, 45. ; Water Orders Confirmation, 25. 3d. ; Gas Orders Confirmation, No. 3, 2s. 6d. WYMAN, Oct. 10",,,,Oct. 10,
